Genome Region midpoint (1-based)	Sum Motif	
chr10:33247395	241.3351392	
chr12:14923574	241.2605081	
chr19:54663235	238.899589	
chr14:57735613	238.8480291	
chr15:101835563	238.8293714	
chr15:89787173	238.5814029	
chr7:104624398	238.5155987	
chr2:162164935	238.2720437	
chr11:65382827	237.068513	
chr6:10695161	236.7218382	
chr3:9932288	236.6933495	
chr14:101144107	235.286288	
chr19:56826545	232.5814029	
chr19:55896885	231.8080049	
chr7:108166634	231.5413787	
chr1:43740260	228.5111853	
chr1:220445803	228.0658042	
chr21:27107307	227.5067719	
chr17:49243607	226.8364935	
chr14:75179810	226.2204838	
chr5:140700347	225.7333738	
chr5:34839196	224.7733981	
chr19:12807456	224.7591537	
chr7:6617037	224.656034	
chr1:161359763	224.5902298	
chr3:47422496	224.2577994	
chr12:50236907	223.8134224	
chr12:66696285	221.0915842	
chr10:89264622	220.3520923	
chr19:53606668	218.5013544	
chr17:37844336	217.8276667	
chr1:101361647	216.7591537	
chr1:21588482	216.1502662	
chr3:93781752	215.4755744	
chr14:21852221	215.1200728	
chr4:159644590	214.455212	
chr9:97489001	213.8364935	
chr19:39900829	213.7442088	
chr15:74988353	213.2462638	
chr8:94767048	212.9440267	
chr17:75084717	211.2835793	
chr1:185126261	210.9653932	
chr2:3383433	210.7964693	
chr17:42976434	210.7788156	
chr5:137878933	210.5298431	
chr9:91002527	209.4063609	
chr10:1102746	208.8622735	
chr16:2021956	207.9396133	
chr14:23058126	206.8853447	
chr16:68271548	206.7733981	
chr17:13972805	206.2577994	
chr19:48248724	205.7706893	
chr9:86571656	205.5786942	
chr19:11039401	204.9138334	
chr19:4182592	204.8765178	
chr22:47158512	203.1947039	
chr17:62502875	202.6845227	
chr7:100888368	202.5529142	
chr10:12238172	202.3609191	
chr9:88969370	201.8738091	
chr8:11141908	201.5298431	
chr17:18684582	201.4240146	
chr18:23670916	201.1360219	
chr10:72091636	200.8178358	
chr11:64885202	199.6818139	
chr17:75084724	199.3724547	
chr1:149899718	198.3609191	
chr19:6393220	197.6160097	
chr7:100076849	197.1947039	
chr17:73127858	197.0169531	
chr8:82598572	196.8392023	
chr19:16308584	196.3236036	
chr6:28193013	195.3208948	
chr2:9563740	194.8924668	
chr11:73882275	194.5814029	
chr20:2644899	193.7805203	
chr1:52499506	193.7191295	
chr1:52344893	193.5698673	
chr2:182931638	192.8107136	
chr11:118230306	192.7964693	
chr17:17184616	191.7191295	
chr16:15982556	191.6960583	
chrX:117479909	191.3724547	
chr14:65381552	189.9911732	
chr18:55297538	189.5644498	
chr7:100861399	189.4898188	
chr1:44435642	189.4240146	
chr2:219081851	189.0400243	
chr6:13328833	188.227606	
chr12:56584074	187.6960583	
chr6:27113860	187.2791659	
chr17:41561329	187.1947039	
chr8:86019457	186.6044741	
chr7:6746644	185.1716327	
chr19:44669170	184.3609191	
chr5:176784855	183.4053568	
chr1:40723699	183.2320194	
chr10:97890048	183.1804596	
chr4:13629345	182.8337848	
chr7:100660417	182.5342565	
chr13:41363534	182.2062395	
chr11:18344098	182.1546796	
chr19:12792715	181.3405567	
chr17:78389247	180.6845227	
chr13:25875700	179.9111246	
chr9:139305088	179.5413787	
chr2:133104992	179.0987063	
chr7:100861292	179.0400243	
chr18:33552583	178.9511489	
chr13:48877852	177.8507379	
chr19:33667825	176.7635672	
chr6:31628536	175.5271343	
chr20:18547998	174.8480291	
chr12:16035297	174.412479	
chr8:27630171	174.2062395	
chr19:16653343	174.1546796	
chr10:112136265	173.9253689	
chr9:137979434	173.2062395	
chr7:99517224	172.9511489	
chr2:201982169	172.656034	
chr18:48405031	172.4480898	
chr1:9777846	171.7333738	
chr20:44486050	171.6302541	
chr6:43655556	169.3724547	
chr4:56719806	168.840907	
chr5:102898499	168.2951149	
chr13:26796701	168.1831683	
chr11:576157	167.7004717	
chr19:37407199	167.2204838	
chr19:1438322	166.7964693	
chr18:21033144	166.1173641	
chr12:38710435	166.0339062	
chr4:184365787	165.9022978	
chr3:38206546	165.6285494	
chr16:11945451	165.4525033	
chr17:45000477	163.9769288	
chr1:109969218	163.7191295	
chr2:20624773	163.7191295	
chr17:61904477	163.1804596	
chr5:132387352	163.0515599	
chr5:169758342	162.9369045	
chr6:32143912	162.724547	
chr6:13615553	162.5529142	
chr4:165898827	162.3751634	
chr12:6797822	162.3537969	
chr2:9983582	161.7191295	
chr2:54787191	161.4925275	
chr12:105501491	160.9369045	
chr10:89264583	160.5529142	
chr5:159846097	159.8080049	
chr11:68039552	159.4898188	
chr17:79670404	159.1804596	
chr16:67572104	158.7476181	
chr20:34252928	158.5386699	
chr20:34542471	158.3609191	
chr19:17326161	158.3093592	
chr11:46722559	157.7333738	
chr11:118889181	157.6302541	
chr14:59951170	157.4151877	
chr1:109796643	157.2418503	
chr3:186524321	155.2231926	
chr19:50083864	154.6417896	
chr12:121124712	154.6044741	
chr16:57496569	154.6044741	
chr19:52956773	154.5671586	
chr16:85045137	154.5529142	
chr6:33257334	154.3466748	
chr18:51795888	154	
chr15:44719769	153.9067112	
chr12:109899170	153.6675696	
chr1:10003467	153.6160097	
chr7:5862742	153.143144	
chr4:164416234	153.0542686	
chr22:37595476	152.5013544	
chr8:22462151	151.6818139	
chr4:128801940	151.4755744	
chr2:169746956	151.4382589	
chr12:6798137	149.8222492	
chr22:46692605	149.6818139	
chr5:148724918	149.6675696	
chr22:19466734	149.2835793	
chr19:34919280	149.0915842	
chr6:126240290	148.7449094	
chr5:110074699	148.5457921	
chr1:109825880	148.3537969	
chr20:30539854	148.3466748	
chr2:240189274	147.6818139	
chr10:44101860	147.4525033	
chr6:3069231	146.7964693	
chr1:62902002	146.5956473	
chr10:15902577	145.9911732	
chr6:3069195	145.5929385	
chr3:57541775	145.4240146	
chr3:45883736	144.899589	
chr5:148724978	144.899589	
chr12:52463762	144.0800486	
chr14:105282417	144.0142443	
chr20:3140519	143.8595647	
chr17:4843787	143.656034	
chr15:72668840	143.51289	
chr20:5093729	143.1200728	
chr10:103348032	142.8853447	
chr17:10600867	142.6044741	
chr11:82612752	141.9626845	
chr6:170615820	141.5786942	
chr17:18684474	141.4755744	
chr3:141217816	141.1288997	
chr4:37828015	140.9911732	
chr7:2774715	140.799178	
chr1:152020657	140.3422613	
chr8:17780142	139.5271343	
chr13:96705664	138.6933495	
chr12:123459222	138.656034	
chr4:74124878	138.3093592	
chr8:22562576	138.0658042	
chr16:87799632	138.0142443	
chr17:4843883	137.3609191	
chr3:171527741	137.2951149	
chr5:40835334	137.0542686	
chr19:40562125	136.7191295	
chr7:44084243	136.6417896	
chr16:30007551	136.3466748	
chr16:30538138	135.3208948	
chr17:4737552	135.2320194	
chr14:67826575	135.1947039	
chr7:66147024	134.9138334	
chr4:184427497	134.7733981	
chr11:506843	134.3982346	
chr10:90342651	134.2720437	
chr12:52463470	134.2062395	
chr22:22307242	133.6231319	
chr15:74988395	133.3724547	
chr4:25378845	133.2320194	
chr2:99224984	132.9111246	
chr11:64085105	132.5902298	
chr17:2239776	132.3609191	
chr3:50388307	132.1173641	
chr9:115607204	132.1031197	
chr7:135662143	131.9911732	
chr3:47029440	131.9884644	
chr20:31408054	131.555623	
chr22:30752929	131.51289	
chr16:3450993	130.840907	
chr16:85597273	130.4321408	
chr18:3247811	130.3378479	
chr16:2918251	130.2577994	
chr12:49659399	130.1858771	
chr10:15902562	130.0658042	
chr8:23104155	130.0284887	
chr14:75760837	129.9769288	
chr10:131909156	129.8765178	
chr1:160313082	129.7964693	
chr22:38004482	129.5786942	
chr7:132937747	129.0027088	
chr18:55289172	128.9626845	
chr17:48105090	128.7964693	
chr7:99102891	128.7075939	
chr1:36626659	128.5271343	
chr5:125936606	128.4497945	
chr8:121457638	128.2577994	
chr2:66662245	128.168924	
chr1:235292171	128.1546796	
chr5:443250	128.1546796	
chr14:102276457	128.0471465	
chr2:217363524	127.6587427	
chr15:90944261	127.51289	
chr12:123459306	127.2320194	
chr17:26988954	126.4053568	
chr16:31519755	125.8080049	
chr1:200589952	125.7191295	
chr20:61569326	125.6818139	
chr1:160001779	125.6818139	
chr15:34635376	125.6160097	
chr2:234160304	125.269335	
chr16:25042923	124.7449094	
chr3:130612770	124.6417896	
chr2:219536721	124.6329628	
chr7:98923500	124.3982346	
chr11:34621348	123.1947039	
chr1:43855551	122.7191295	
chr1:24117647	122.6346675	
chr14:58764605	122.5902298	
chr1:171283231	122.539674	
chr12:498470	122.4338455	
chr19:13949990	122.2062395	
chr2:69405580	122.0027088	
chr7:99613210	121.4382589	
chr19:2273821	121.3208948	
chr11:2421546	121.1947039	
chr19:4182586	121.0400243	
chr2:26987143	121.0400243	
chr19:44576288	120.899589	
chrX:55187623	120.840907	
chr8:134309972	120.5644498	
chr6:57182414	120.4311367	
chr2:55496412	120.0329021	
chr4:159644572	119.9236643	
chr5:76326197	119.6302541	
chr12:54718801	119.2978236	
chr11:18548497	119.1804596	
chr11:27528327	119.1414394	
chr8:142425060	119.1031197	
chr16:31724563	118.9813422	
chr12:108955193	118.8924668	
chr4:41992493	117.8880534	
chr19:3435002	117.8080049	
chr7:99102817	117.5040631	
chr9:130981165	116.4036521	
chr3:33840076	116.2062395	
chr12:111842783	116.1618018	
chr11:75110562	116.0142443	
chr18:47824491	115.5786942	
chr11:47600527	115.4898188	
chr9:102861322	115.4898188	
chr17:18086720	115.3795769	
chr1:101360431	114.8924668	
chr17:38519108	114.8107136	
chr4:10117041	114.7191295	
chr1:38061588	114.4497945	
chr19:37825555	114.4497945	
chr12:49961920	114.3609191	
chr6:43142411	113.6631562	
chr3:44690223	113.6302541	
chr6:170102226	113.5644498	
chr19:51014653	113.3724547	
chr5:65222337	113.3724547	
chr6:28186476	113.0915842	
chr20:49547979	112.8480291	
chr3:15469041	112.6417896	
chr5:14810052	112.1546796	
chr19:53400938	112.0658042	
chr9:37592617	112.0142443	
chr16:67193803	111.8080049	
chrX:52950098	111.0773398	
chr3:9834704	111.0515599	
chr11:65479690	110.8337848	
chr2:128848754	110.3236036	
chr5:56112743	110.1173641	
chr11:71791714	110.1031197	
chr19:38865197	109.9555623	
chr2:113569572	109.899589	
chr17:48450550	109.4755744	
chr17:4634727	109.3724547	
chr10:13628950	109.3351392	
chr19:44529476	109.3351392	
chr6:10426824	109.2747525	
chr3:184529911	109.0773398	
chr6:28092345	109.0773398	
chr9:6681465	108.8622735	
chr1:224691461	108.7964693	
chr7:99613168	108.5013544	
chr19:7069701	108.2577994	
chr19:7069695	108.1173641	
chr5:33440753	107.9369045	
chr9:139305082	107.5413787	
chr4:119606514	107.4755744	
chr11:8985984	107.4240146	
chr19:57831833	107.3208948	
chrX:129095430	107.0515599	
chr22:38349668	106.6933495	
chr17:8023972	106.5067719	
chr3:49894012	106.2347282	
chr15:47776517	105.9911732	
chr11:111957541	105.8222492	
chr4:83295324	105.756445	
chr13:45915389	105.6160097	
chr11:118979457	105.1947039	
chr19:40926922	105.1360219	
chr9:132500273	104.8337848	
chr1:25559081	104.2062395	
chr19:58095500	104.1475574	
chr4:41937158	103.7333738	
chrX:47863379	103.6675696	
chr20:30326984	103.1387306	
chr11:9406126	103.0400243	
chr11:102962931	102.8480291	
chr2:74734824	102.5386699	
chr1:22379124	102.4640388	
chr2:70520959	102.2835793	
chr4:6576902	102.168924	
chr15:75165685	101.8738091	
chr8:22102605	101.8080049	
chr1:115259385	101.7191295	
chr17:48450594	101.4755744	
chr8:38034026	100.6417896	
chr14:21150970	100.1991173	
chr4:4249979	100.168924	
chr9:127703383	100.0515599	
chr17:79393384	99.96268447	
chr10:97055134	99.78222492	
chr16:31085637	99.71912946	
chr8:53627083	99.6444984	
chr19:55791507	99.59293853	
chr1:155904222	99.04002428	
chr5:148931192	98.60447412	
chr11:67122224	98.37516345	
chr5:131892517	98.29511489	
chr5:150080225	98.22048383	
chr20:2451473	98.20623949	
chr7:128695176	98.16892396	
chr6:8435769	97.9111246	
chr1:42364018	97.88534466	
chr19:50180102	97.74761814	
chr16:31085114	97.57869418	
chr12:68759190	97.34667476	
chr20:52543223	97.34667476	
chrX:69509769	97.1947039	
chr17:1945311	97.14314402	
chr10:81918549	96.78222492	
chr19:30433122	96.39823463	
chr12:117348755	96.30935923	
chr14:94373229	96.25779936	
chr19:45542250	96.13160843	
chr2:242041752	95.9111246	
chr19:52839505	95.72454696	
chr6:88299757	95.6444984	
chr14:76452105	95.41518773	
chr17:40287842	95.02577994	
chr16:3174589	94.64891182	
chr7:128864454	94.61871846	
chr19:11616650	94.55291425	
chr19:58281015	94.5386699	
chr5:66511816	93.90671118	
chr12:70133552	93.88093124	
chr5:133802347	93.85956473	
chr2:219773838	93.71912946	
chr12:56401230	93.68622735	
chr2:174830215	93.50135438	
chr11:107328613	93.47557444	
chr2:190627511	93.38669904	
chr19:50316590	93.32089482	
chr1:1590467	93.08446198	
chr14:73603142	93.07733981	
chr19:57751966	93.07292639	
chr5:33441334	93.01424434	
chr18:44676866	92.95114888	
chr11:59578254	92.92095552	
chr3:194304730	92.59022978	
chr16:67564220	92.44808984	
chr16:19729533	92.39823463	
chr2:109065576	91.86498223	
chr3:101232184	91.84090696	
chr9:130700138	91.56444984	
chr7:5589107	91.48981878	
chr6:28129526	91.47557444	
chr6:43021728	91.36362786	
chr14:68067005	91.18045955	
chr15:76603741	91.15738837	
chr14:94425933	91.10311974	
chr9:137029935	91.08446198	
chr1:38061555	91.04002428	
chr7:97881537	91.04002428	
chr15:74753522	90.95114888	
chr22:36878140	90.83378479	
chr12:56320954	90.78222492	
chr2:25518223	90.68622735	
chr15:69745457	90.68452268	
chr3:156544013	90.59022978	
chr19:58125596	90.42672332	
chr12:12966284	90.39823463	
chr19:56631865	90.3609191	
chr1:211780402	90.34226134	
chr2:15731977	90.30935923	
chr2:242254264	90.27645712	
chr19:45927174	90.15467962	
chr9:123975594	89.42401457	
chr18:33552634	89.14314402	
chr6:106773598	89.12889968	
chrX:119077753	89.04002428	
chr5:68338805	89.02577994	
chr13:103248680	88.98846441	
chr19:50879617	88.93690454	
chr9:131644395	88.88534466	
chr2:61763982	88.79646926	
chr17:42976788	88.75915374	
chr11:71823493	88.75203156	
chr6:27440906	88.5386699	
chr3:52016930	88.16180179	
chr13:48611850	88.07292639	
chr13:103109909	87.9111246	
chr10:1095308	87.87380907	
chr6:151773426	87.85956473	
chr5:99871064	87.8222492	
chr1:95538483	87.35379693	
chr8:29316747	86.88534466	
chr11:65479715	86.83378479	
chr17:49230815	86.78934709	
chr7:128695274	86.70759386	
chr11:18548517	86.64178965	
chr7:44530266	86.60447412	
chrX:16737748	86.59022978	
chr12:58139069	86.51559872	
chr8:145022762	86.30935923	
chr19:10217030	85.96268447	
chr2:86422615	85.80800486	
chr20:45318195	85.66756958	
chr19:7694569	85.43825891	
chr21:47714951	85.24897252	
chr12:64846501	85.17333738	
chr14:89817896	84.98846441	
chr8:8860418	84.95114888	
chr5:43065043	84.78222492	
chr11:62607074	84.69334952	
chr19:58459220	84.64178965	
chr16:14726789	84.5386699	
chr16:28503446	84.5386699	
chr9:19102953	84.3724547	
chr6:33267235	84.29511489	
chr19:58962975	84.16180179	
chr11:126350786	83.86498223	
chr11:2421605	83.74049597	
chr22:39916273	83.59293853	
chr12:6642717	83.37957687	
chr20:13619571	83.32089482	
chr7:102985223	83.02577994	
chr19:18589847	82.5386699	
chr11:64902013	82.32089482	
chr11:8704208	82.30695398	
chr1:16302619	82.19911732	
chr6:27113913	82.07563514	
chr12:6798858	82.01424434	
chr1:161369174	81.96268447	
chr5:157158682	81.59293853	
chr15:93363621	81.56444984	
chr5:6766784	81.50406313	
chr20:524451	81.26933495	
chr17:78389193	80.99388191	
chrX:48815651	80.83378479	
chr6:111195932	80.66315616	
chr1:59250320	80.55291425	
chr10:32218453	80.5386699	
chr10:7860349	80.46403885	
chr6:27841387	80.4497945	
chr8:144718194	80.34667476	
chr2:113569643	80.34667476	
chr1:2574686	80.17604613	
chr10:5855602	80.16180179	
chr2:153032278	79.80800486	
chr2:75061862	79.80188677	
chr2:172778949	79.71912946	
chr13:114894595	79.07733981	
chr16:67993650	78.95114888	
chr16:53552801	78.90400243	
chr3:184429851	78.78222492	
chr20:33735193	78.64178965	
chr18:61637818	78.60447412	
chr12:97300992	78.5386699	
chr1:7609570	78.15467962	
chr1:160983708	78.0942929	
chr20:34542450	77.81512703	
chr17:78388959	77.78493367	
chr19:10217009	77.71912946	
chr6:30685327	77.64178965	
chr14:24711834	77.61600971	
chr19:50083908	77.48981878	
chr14:50087363	77.38669904	
chr9:3526440	77.2835793	
chr3:9791634	77.07733981	
chr6:30524748	77.02577994	
chr19:44645726	76.98846441	
chr12:112037381	76.88534466	
chr1:151253996	76.84802914	
chr10:70715869	76.78222492	
chr3:52322080	76.65603399	
chr19:23941713	75.96268447	
chr2:85839199	75.96268447	
chr11:65420520	75.92536894	
chr17:79269132	75.8222492	
chr1:209958095	75.77068933	
chr5:131892581	75.56444984	
chr4:184427511	75.5111853	
chr2:55746738	75.32089482	
chr5:94982573	75.23201942	
chr3:156878009	75.02577994	
chrX:74376218	74.88534466	
chr22:18560635	74.60447412	
chr19:39322572	74.5386699	
chr1:155948327	74.53425648	
chr5:75012951	74.46403885	
chr5:141303341	74.4497945	
chr12:104359613	74.29511489	
chr6:42847341	74.15467962	
chr19:50143950	73.61600971	
chr12:14923217	73.6000607	
chr12:100660920	73.4168924	
chr10:114206713	73.3724547	
chr2:241525738	73.32089482	
chr17:49022151	73.2835793	
chr12:99037955	73.26933495	
chr5:78810469	73.26933495	
chr2:43447178	73.25067719	
chr7:111846581	72.91383335	
chr1:24117610	72.81071361	
chr8:26434680	72.78222492	
chr12:6961638	72.50135438	
chr18:67873106	72.50135438	
chr16:87799609	72.4497945	
chr11:47270432	72.25779936	
chr10:89578003	72.05155987	
chr17:4458803	71.83649354	
chr2:39103111	71.43825891	
chr4:170679094	71.3724547	
chr3:101280687	71.33513917	
chr1:204485488	71.2835793	
chr11:118230253	71.26933495	
chr3:180319906	70.86227348	
chr3:178865882	70.74490939	
chr6:143832399	70.5386699	
chr4:4868009	70.15467962	
chr16:70380790	70.15467962	
chr6:36842591	70.10311974	
chr16:27280171	70.05155987	
chr3:49056051	70.02577994	
chr2:27886525	70.00270875	
chr17:618115	69.9111246	
chr4:119606546	69.87380907	
chr4:25314159	69.85956473	
chr20:35490503	69.66756958	
chr6:122792975	69.3724547	
chr15:79603461	69.32089482	
chr7:75677358	69.12889968	
chr16:20817810	68.88534466	
chr5:139781218	68.78222492	
chr12:100594493	68.74490939	
chr1:156561496	68.69334952	
chr4:38668884	68.63466748	
chr2:170550939	68.55291425	
chr4:2813934	68.42401457	
chr5:159846137	68.39823463	
chr20:48532282	68.37516345	
chr17:58217369	68.34667476	
chr3:170626632	68.34667476	
chr12:53574426	68.29511489	
chr7:6121134	68.20623949	
chr7:102988070	68	
chr15:83680541	67.96980664	
chr17:37356290	67.92536894	
chr14:61943753	67.8666869	
chr12:6798752	67.75644498	
chr9:136009349	67.69334952	
chr9:37197394	67.66756958	
chr20:34287270	67.6444984	
chr6:170102193	67.57869418	
chr8:103667653	67.57869418	
chr19:10230602	67.42401457	
chr10:16479010	67.39823463	
chr1:38455759	67.07733981	
chr19:10514248	67.04002428	
chr2:220407838	67.03290211	
chr9:36572883	66.98846441	
chr19:44860910	66.70047169	
chr9:91933347	66.59022978	
chr12:6982505	66.52984306	
chr12:114404173	66.30935923	
chr17:37844324	66.25779936	
chr2:23627531	66.16180179	
chr16:66550884	66.00712217	
chr9:5437970	65.80800486	
chr2:71228366	65.61600971	
chr2:74801180	65.47557444	
chr20:34824387	65.30494581	
chr3:49203776	64.98846441	
chr18:11851402	64.98134224	
chr18:72265062	64.68622735	
chr6:30650539	64.65603399	
chr3:72897619	64.64178965	
chr5:140044388	64.64178965	
chr20:35918062	64.50135438	
chr7:7680247	64.3948253	
chr2:114648640	64.01424434	
chr13:32889560	63.03290211	
chr3:72621160	62.65603399	
chr5:157158408	62.16892396	
chr6:32096180	61.85956473	
chr7:130796210	61.72625163	
chr17:38478966	61.62313188	
chr3:88108326	61.51288997	
chr16:30886704	61.42401457	
chr2:101087530	61.32089482	
chr14:45431259	61.27645712	
chr2:74153929	61.24897252	
chr7:102988102	61.14314402	
chr19:9785787	60.93690454	
chr16:10831138	60.64178965	
chr18:72264894	60.64178965	
chr7:66205592	60.43825891	
chr2:27594066	60.39823463	
chr3:50388277	59.82937137	
chr15:91473398	59.8222492	
chr18:51795878	59.80800486	
chr6:57181760	59.68281801	
chr7:73149255	59.42401457	
chr2:20189930	59.32089482	
chr22:31556137	59.32089482	
chr15:72978540	59.26933495	
chr12:105630050	59.18045955	
chr11:27222914	59.15467962	
chr14:64108808	59.05155987	
chr12:94071135	58.93690454	
chr9:37785086	58.78222492	
chr17:72772528	58.30935923	
chr3:49158384	58.29511489	
chr14:77422965	58.22048383	
chr12:124950967	58.16892396	
chr6:33267264	58.12889968	
chr17:8059904	57.66756958	
chr13:36287410	57.66756958	
chr19:58694348	57.51288997	
chr19:55663416	57.46403885	
chr9:98080093	57.33513917	
chr19:1259365	57.32089482	
chr16:3355748	57.26933495	
chr3:52321819	57.23201942	
chr2:232329659	57.10311974	
chr16:3162562	57.08446198	
chrX:48768960	56.78222492	
chr9:116413164	56.56003642	
chr15:90437255	56.4497945	
chr16:89284057	56.42672332	
chrX:122994444	56.42401457	
chr11:57103342	56.39823463	
chr16:87417773	56.39823463	
chr12:65066799	56.39382121	
chr1:44679094	56.10311974	
chr7:44613623	56.07733981	
chr1:2517042	56.06580422	
chr2:178483487	56.05155987	
chr12:49110633	55.84191105	
chr3:51534335	55.77068933	
chr16:66968307	55.71912946	
chr10:74927881	55.66756958	
chr5:153418477	55.56444984	
chr7:44240513	55.42401457	
chr12:14923290	55.227606	
chr2:74804921	55.12889968	
chr12:48147406	55.12889968	
chr2:203103319	55.07733981	
chr19:48759214	55.07733981	
chr15:38746318	54.98134224	
chr19:53758120	54.79646926	
chr11:118122906	54.5386699	
chr6:32160710	54.4942322	
chr22:41215395	54.34667476	
chr16:8891677	54.30935923	
chr3:130465678	54.29511489	
chr6:150463643	54.11024192	
chr5:79703698	54.01424434	
chr19:22019005	54	
chr12:28343381	53.84090696	
chr12:110888191	53.66756958	
chr6:111303207	53.63025406	
chr7:45026011	53.62313188	
chr2:166150449	53.61600971	
chr5:32585667	53.56444984	
chr1:151882194	53.42401457	
chr22:27006497	53.32089482	
chr2:207024322	53.23201942	
chr19:48972939	53.1947039	
chr6:166795335	53	
chr19:17530661	52.88534466	
chr17:75401127	52.78934709	
chr19:7460018	52.78222492	
