Genome Region midpoint (1-based)	SUM	
chr8:120868116	-0.938015124	
chr12:132434455	-0.938015124	
chr22:36764877	-0.963049808	
chr13:52768627	-1.0503781	
chr2:160143398	-1.250686832	
chr16:3074013	-1.34350978	
chr20:32398972	-1.388701956	
chr14:54955720	-1.50839635	
chrX:49012655	-1.857709518	
chr9:7799797	-1.909615648	
chr14:73493536	-2.188701956	
chr7:123389255	-2.188701956	
chr9:93863293	-2.32671708	
chr4:110355642	-2.678777576	
chr16:88923350	-2.952060496	
chr20:4741445	-3.820141862	
chr10:103991703	-3.882744202	
chr1:114302168	-4.652816696	
chr11:3079033	-4.671446158	
chr10:75639569	-4.920913692	
chr2:232826156	-5.075104052	
chr17:8091126	-5.259839382	
chr6:150740377	-5.315419036	
chr9:35072018	-5.366105868	
chr19:14117905	-5.45343416	
chr12:56512023	-5.582281104	
chr7:1500671	-5.867479532	
chr1:36023084	-5.993579148	
chr19:36870095	-6.198765072	
chrX:134186338	-6.268390098	
chr11:61735195	-6.39694394	
chr11:46414357	-6.456181488	
chr19:49990691	-6.722441722	
chr3:156892798	-6.809754384	
chr6:30650499	-6.863497276	
chr2:10830170	-6.878777576	
chr2:73612874	-6.991140552	
chrX:48555564	-7.022287356	
chr13:53191580	-7.142583584	
chr10:43904622	-7.191449284	
chr2:61244331	-8.398765072	
chr20:58713494	-8.672974188	
chr19:37708752	-8.761521778	
chr2:182321566	-9.173421656	
chr14:39572482	-9.784117866	
chr3:193721020	-10.0503781	
chr11:61197521	-10.45618149	
chr3:50638761	-10.6024386	
chr9:132646902	-11.13770639	
chr7:128695041	-11.27964125	
chr2:234160282	-11.47846884	
chr9:37485728	-11.62931004	
chr17:79303354	-11.79969127	
chr11:65641139	-11.82378413	
chr12:123237314	-12.64364852	
chr1:43231806	-12.85798699	
chr16:30597175	-12.97709518	
chr1:156472852	-13.83327667	
chr17:35285640	-14.12762765	
chr18:3247789	-14.61799637	
chr4:111118793	-15.14900444	
chr16:58163500	-15.30930692	
chrX:53254694	-15.32883131	
chr7:96746950	-15.79540028	
chr7:150929567	-16.35175176	
chr9:125675581	-16.8524767	
chr8:37620119	-16.87936378	
chr7:23338826	-17.01068058	
chr11:118272325	-17.1166227	
chr7:100765411	-17.23908006	
chr8:125551348	-17.97067433	
chr11:67169562	-18.09402662	
chr3:49056025	-18.15968502	
chr1:53662384	-18.34563964	
chr6:143265762	-18.531903	
chr1:19923389	-18.55875882	
chr8:126422874	-18.75297106	
chr1:35450991	-19.1847197	
chr1:198126760	-19.5486957	
chr1:227015887	-20.74442035	
chr4:56212448	-21.3654884	
chr11:47448145	-21.48181801	
chr19:19483999	-21.74838697	
chrX:69353709	-22.85891319	
chr6:99873867	-24.39692831	
chr11:111797701	-24.41463158	
chr12:14956525	-25.04425035	
chr19:53606741	-27.65800262	
chr12:53765104	-28.37494969	
chr9:21802506	-29.96396037	
chr12:21654245	-29.99327042	
chr11:96123092	-30.72792075	
chr20:44601186	-31.61341228	
chr10:27531134	-32.4714149	
chr15:101834986	-32.56150615	
chr1:100598556	-32.91169862	
chr17:45973864	-32.92029623	
chr4:1303204	-33.49737578	
chr1:154193239	-35.06686207	
chr2:20550176	-35.61646834	
chr10:104153876	-35.81188425	
chr10:118892406	-36.29005999	
chr22:31556124	-36.7511343	
chr1:101360505	-37.11449284	
chr17:45000491	-37.93395472	
chr3:11684393	-38.61281044	
chr6:149867289	-39.23600837	
chr1:28286505	-39.98441097	
chr6:27099774	-40.24639584	
chrX:54556890	-40.90929129	
chr1:173793956	-43.41126678	
chr8:124054561	-43.4894269	
chr3:40566454	-44.07937941	
chrX:100075311	-44.43571526	
chr3:9834428	-44.73647146	
chr2:96971594	-45.41372101	
chr15:42565660	-45.68729703	
chr17:6554937	-45.87447096	
chr9:132096692	-46.19569338	
chr1:161015874	-46.33494343	
chr9:127962773	-47.00149677	
chr2:227701096	-47.54807824	
chr17:48229159	-48.01494031	
chr3:112738582	-48.46196925	
chr7:44678948	-49.07082869	
chr3:49058928	-49.3523536	
chr3:44666552	-52.06105868	
chr12:498779	-52.34349415	
chr5:141705334	-54.49248296	
chr12:11323765	-56.81892256	
chr17:64561366	-57.40455283	
chr10:15001980	-58.55937628	
chr2:27886328	-59.26044122	
chr12:72057785	-59.85276981	
chr14:53173814	-60.41461595	
chr5:133702906	-61.43813823	
chr1:226187199	-62.71446158	
chr15:55790619	-63.47508842	
chr12:80329046	-65.50347227	
chr7:97501868	-66.24912754	
chr11:65245123	-67.66710828	
chrX:129535899	-68.31081932	
chr13:20207655	-71.7862321	
chr9:3526036	-72.65094867	
chr15:43622834	-72.97033434	
chr6:125622896	-76.60517029	
chr3:14413483	-76.73523654	
chr1:179846981	-77.571878	
chr3:156892778	-77.87905505	
chr1:20834706	-80.31751764	
chr1:52499524	-83.63293668	
chr1:155904356	-88.72424722	
chr5:75012991	-101.4308068	
chr18:43684698	-105.9089044	
chr3:47555006	-115.1079782	
chr19:44576141	-116.4512418	
chr6:80714239	-117.6433398	
chr12:56520101	-145.2970514	
chr18:74767214	-152.6582488	
chr17:16189458	-165.9309455	
chr3:44754144	-173.2170545	
chr9:123964243	-175.7766614	
chr1:150266291	-176.1004006	
chr4:100009980	-195.5385232	
chr2:46844333	-195.9559177	
chr14:31091459	-225.7135198	
chr3:101280667	-226.5930985	
chr19:55988264	-234.6188444	
chr6:57182420	-259.5806906	
chr20:32581036	-269.3101393	
chr5:140700406	-272.5251109	
chr19:16189853	-284.9067902	
chr1:208393201	-316.3718311	
chr6:169295365	-339.5010024	
